hose_in,scfm,visc_cP,time_min,peak_gpm,note
2.0,10,1,46.30817631372128,282.912833499402,
2.0,10,50,50.522990205732114,226.7339690138613,
2.0,10,100,55.426345349852085,218.3996081571096,
2.0,10,500,92.66721234052778,117.0353782285515,
2.0,10,1000,125.14190733620063,62.35503725887848,
2.0,10,2000,172.6131636047847,31.74097838736183,
2.0,10,5000,348.536346348542,15.80980348894787,
2.0,15,1,37.12426972638735,282.912833499402,
2.0,15,50,42.42659349323303,226.7339690138613,
2.0,15,100,43.142806858226436,218.3996081571096,
2.0,15,500,74.26070878610577,117.0353782285515,
2.0,15,1000,101.15821271403416,62.35503725887848,
2.0,15,2000,144.78163239473804,38.43472747512766,
2.0,15,5000,346.1130614120627,15.91402524493482,
2.0,17,1,35.015444708434664,282.912833499402,
2.0,17,50,40.5187205459733,226.7339690138613,
2.0,17,100,40.243705559230385,218.3996081571096,
2.0,17,500,69.49167819181966,117.0353782285515,
2.0,17,1000,94.82417663134841,62.35503725887848,
2.0,17,2000,143.4474240632945,38.81275793408373,
2.0,17,5000,,15.93749560753129,DNF (1512 gal left)
2.0,19,1,33.330559748557214,282.912833499402,
2.0,19,50,38.892770954672734,226.7339690138613,
2.0,19,100,37.94750930515904,218.3996081571096,
2.0,19,500,65.55526899871644,117.0353782285515,
2.0,19,1000,89.56026129274306,62.35503725887848,
2.0,19,2000,142.73908528045655,38.99386203404764,
2.0,19,5000,,15.95583396155698,DNF (1508 gal left)
2.0,25,1,29.752255439325715,282.912833499402,
2.0,25,50,34.935323199946,226.7339690138613,
2.0,25,100,33.37532001812836,218.3996081571096,
2.0,25,500,56.906275163636266,117.0353782285515,
2.0,25,1000,77.88325050504118,70.34193635063917,
2.0,25,2000,141.6290685082925,39.27680949923571,
2.0,25,5000,,15.99296971140127,DNF (1498 gal left)
2.0,30,1,27.72060119657605,282.912833499402,
2.0,30,50,32.511816010050545,226.7339690138613,
2.0,30,100,31.16287243187445,218.3996081571096,
2.0,30,500,51.88682924225305,117.0353782285515,
2.0,30,1000,73.88077849747651,75.40859303325155,
2.0,30,2000,141.12885923111492,39.40733521662336,
2.0,30,5000,,16.01244062403248,DNF (1493 gal left)
2.0,35,1,26.1672711111704,282.912833499402,
2.0,35,50,30.644032843580916,226.7339690138613,
2.0,35,100,29.62124482577512,218.3996081571096,
2.0,35,500,48.03323996668171,117.0353782285515,
2.0,35,1000,73.18387686749296,76.13017561003285,
2.0,35,2000,140.79324316736145,39.49692609488631,
2.0,35,5000,,16.02635081612147,DNF (1489 gal left)
2.0,40,1,24.923299743089334,282.912833499402,
2.0,40,50,29.141028069275432,226.7339690138613,
2.0,40,100,28.446652130028347,218.3996081571096,
2.0,40,500,44.95471528460437,120.872135822482,
2.0,40,1000,72.82484073224687,76.4773957053206,
2.0,40,2000,140.54877732657036,39.56276156793388,
2.0,40,5000,,16.03674378423779,DNF (1487 gal left)
2.0,55,1,22.267272905304317,282.912833499402,
2.0,55,50,25.919943806475832,226.7339690138613,
2.0,55,100,26.017033732144764,218.3996081571096,
2.0,55,500,39.719201479900434,139.7318039943246,
2.0,55,1000,72.27826738030734,77.01393178204292,
2.0,55,2000,140.0986317703408,39.68643673371663,
2.0,55,5000,,16.05665341691916,DNF (1482 gal left)
2.0,60,1,21.60625202944667,282.912833499402,
2.0,60,50,25.116892913161067,226.7339690138613,
2.0,60,100,25.41111956807735,218.3996081571096,
2.0,60,500,39.46655870821262,140.6692835365191,
2.0,60,1000,72.169935702999,77.12290654917444,
2.0,60,2000,140.00085955602904,39.71367846423685,
2.0,60,5000,,16.06106401470061,DNF (1481 gal left)
3.0,10,1,39.69923327393956,711.7491748554827,
3.0,10,50,41.99294519581865,608.0512671425374,
3.0,10,100,43.98692166371504,573.0522991435757,
3.0,10,500,55.60025012518495,472.2521466101396,
3.0,10,1000,67.20871949221689,290.3851794019933,
3.0,10,2000,85.72132429510734,156.8727931094458,
3.0,10,5000,125.44934840660163,64.35054687956533,
3.0,15,1,27.440425355616032,711.7491748554827,
3.0,15,50,29.05049149882235,608.0512671425374,
3.0,15,100,30.801015860421266,573.0522991435757,
3.0,15,500,41.58568187040895,472.2521466101396,
3.0,15,1000,52.063612171706836,290.3851794019933,
3.0,15,2000,68.0953095816387,156.8727931094458,
3.0,15,5000,101.49018472215191,64.35054687956533,
3.0,17,1,24.676456511857218,711.7491748554827,
3.0,17,50,26.245045152275203,608.0512671425374,
3.0,17,100,27.751068116563985,573.0522991435757,
3.0,17,500,38.230999109406895,472.2521466101396,
3.0,17,1000,48.289707156262885,290.3851794019933,
3.0,17,2000,63.55712536294878,156.8727931094458,
3.0,17,5000,95.14849166530686,64.35054687956533,
3.0,19,1,22.577492333356453,711.7491748554827,
3.0,19,50,24.260037112260186,608.0512671425374,
3.0,19,100,25.387136790068066,573.0522991435757,
3.0,19,500,35.552463789693384,472.2521466101396,
3.0,19,1000,45.22210391229365,290.3851794019933,
3.0,19,2000,59.820438127514464,156.8727931094458,
3.0,19,5000,89.873260611869,64.35054687956533,
3.0,25,1,18.626398746146215,711.7491748554827,
3.0,25,50,20.6164521854965,608.0512671425374,
3.0,25,100,20.8088591378746,573.0522991435757,
3.0,25,500,29.9561417413737,472.2521466101396,
3.0,25,1000,38.63258314340677,290.3851794019933,
3.0,25,2000,51.639090167624914,156.8727931094458,
3.0,25,5000,78.15366031612872,71.39543451426331,
3.0,30,1,16.724378611098217,711.7491748554827,
3.0,30,50,18.67478675350983,608.0512671425374,
3.0,30,100,18.673687831825003,573.0522991435757,
3.0,30,500,26.887094141227248,472.2521466101396,
3.0,30,1000,34.90108524332454,290.3851794019933,
3.0,30,2000,46.909645811208954,156.8727931094458,
3.0,30,5000,73.14490575487656,77.78970267703586,
3.0,35,1,15.418139832857747,711.7491748554827,
3.0,35,50,17.280940992494,608.0512671425374,
3.0,35,100,17.336226052719653,573.0522991435757,
3.0,35,500,24.61646078096505,472.2521466101396,
3.0,35,1000,32.082919006229346,290.3851794019933,
3.0,35,2000,43.28740640439526,156.8727931094458,
3.0,35,5000,72.31696898754808,78.76722189104835,
3.0,40,1,14.449939273902812,711.7491748554827,
3.0,40,50,16.22642745810732,608.0512671425374,
3.0,40,100,16.397198987700413,573.0522991435757,
3.0,40,500,22.853779979822484,472.2521466101396,
3.0,40,1000,29.86219611295535,290.3851794019933,
3.0,40,2000,40.400008642135994,156.8727931094458,
3.0,40,5000,71.92732725821114,79.17413177994587,
3.0,55,1,12.566028359496567,711.7491748554827,
3.0,55,50,14.128845684385812,608.0512671425374,
3.0,55,100,14.589561832814418,573.0522991435757,
3.0,55,500,19.276957871282733,472.2521466101396,
3.0,55,1000,25.264894488226368,290.3851794019933,
3.0,55,2000,34.32803270111173,164.3445213643071,
3.0,55,5000,71.35414836877906,79.77647075957081,
3.0,60,1,12.12833409880772,711.7491748554827,
3.0,60,50,13.63407365393739,608.0512671425374,
3.0,60,100,14.149827822006356,573.0522991435757,
3.0,60,500,18.42894320254025,472.2521466101396,
3.0,60,1000,24.157120932277465,290.3851794019933,
3.0,60,2000,32.84703721603152,172.3118930596004,
3.0,60,5000,71.242229201372,79.89726353589509,
